APURAÇÃO;PRODUTO;VENDEDOR;SUPERVISOR;CANAL_VENDAS;META
;;;;Lojas Afiliadas;6300
;;;;Lojas Próprias;7500
30/04/2020;Café Bronze;Annalise Keating;Josvaldo Ferreira;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Dexter Morgan;Josvaldo Ferreira;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Elliot Alderson;Clementina Silva;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Gregory House;Clementina Silva;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Ítalo Teotônio;Carleta Joaquina;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Jack Bauer;Teobaldo Souza;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Michael Scofield;Astolfo Péricles;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Norma Bates;Teobaldo Souza;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Randal Pearson;Josvaldo Ferreira;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Shaun Murphy;Clementina Silva;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Thomas Shelby;Carleta Joaquina;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Walter White;Carleta Joaquina;Internet;2900
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;Café Diamante;Annalise Keating;Josvaldo Ferreira;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Dexter Morgan;Josvaldo Ferreira;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Elliot Alderson;Clementina Silva;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Gregory House;Clementina Silva;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Ítalo Teotônio;Carleta Joaquina;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Jack Bauer;Teobaldo Souza;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Michael Scofield;Astolfo Péricles;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Norma Bates;Teobaldo Souza;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Randal Pearson;Josvaldo Ferreira;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Shaun Murphy;Clementina Silva;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Thomas Shelby;Carleta Joaquina;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;;Walter White;Carleta Joaquina;Internet;3900
;;;;Lojas Afiliadas;6900
;;;;Lojas Próprias;7000
;Café Ouro;Annalise Keating;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Dexter Morgan;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Elliot Alderson;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Gregory House;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Ítalo Teotônio;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Jack Bauer;Teobaldo Souza;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Michael Scofield;Astolfo Péricles;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Norma Bates;Teobaldo Souza;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Randal Pearson;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Shaun Murphy;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Thomas Shelby;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;;Walter White;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;7200
;;;;Lojas Próprias;7300
;Café Prata;Annalise Keating;Josvaldo Ferreira;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Dexter Morgan;Josvaldo Ferreira;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Elliot Alderson;Clementina Silva;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Gregory House;Clementina Silva;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Ítalo Teotônio;Carleta Joaquina;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Jack Bauer;Teobaldo Souza;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Michael Scofield;Astolfo Péricles;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Norma Bates;Teobaldo Souza;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Randal Pearson;Josvaldo Ferreira;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Shaun Murphy;Clementina Silva;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Thomas Shelby;Carleta Joaquina;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;;Walter White;Carleta Joaquina;Internet;3500
;;;;Lojas Afiliadas;5100
;;;;Lojas Próprias;5300
;Cerveja Bronze;Annalise Keating;Josvaldo Ferreira;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Dexter Morgan;Josvaldo Ferreira;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Elliot Alderson;Clementina Silva;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Gregory House;Clementina Silva;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Ítalo Teotônio;Carleta Joaquina;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Jack Bauer;Teobaldo Souza;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Michael Scofield;Astolfo Péricles;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Norma Bates;Teobaldo Souza;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Randal Pearson;Josvaldo Ferreira;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Shaun Murphy;Clementina Silva;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Thomas Shelby;Carleta Joaquina;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;;Walter White;Carleta Joaquina;Internet;8500
;;;;Lojas Afiliadas;7400
;;;;Lojas Próprias;10300
;Cerveja Diamante;Annalise Keating;Josvaldo Ferreira;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Dexter Morgan;Josvaldo Ferreira;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Elliot Alderson;Clementina Silva;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Gregory House;Clementina Silva;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Ítalo Teotônio;Carleta Joaquina;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Jack Bauer;Teobaldo Souza;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Michael Scofield;Astolfo Péricles;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Norma Bates;Teobaldo Souza;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Randal Pearson;Josvaldo Ferreira;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Shaun Murphy;Clementina Silva;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Thomas Shelby;Carleta Joaquina;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;;Walter White;Carleta Joaquina;Internet;16900
;;;;Lojas Afiliadas;18200
;;;;Lojas Próprias;21100
;Cerveja Ouro;Annalise Keating;Josvaldo Ferreira;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Dexter Morgan;Josvaldo Ferreira;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Elliot Alderson;Clementina Silva;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Gregory House;Clementina Silva;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Ítalo Teotônio;Carleta Joaquina;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Jack Bauer;Teobaldo Souza;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Michael Scofield;Astolfo Péricles;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Norma Bates;Teobaldo Souza;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Randal Pearson;Josvaldo Ferreira;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Shaun Murphy;Clementina Silva;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Thomas Shelby;Carleta Joaquina;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;;Walter White;Carleta Joaquina;Internet;11400
;;;;Lojas Afiliadas;9700
;;;;Lojas Próprias;11500
;Cerveja Prata;Annalise Keating;Josvaldo Ferreira;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Dexter Morgan;Josvaldo Ferreira;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Elliot Alderson;Clementina Silva;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Gregory House;Clementina Silva;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Ítalo Teotônio;Carleta Joaquina;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Jack Bauer;Teobaldo Souza;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Michael Scofield;Astolfo Péricles;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Norma Bates;Teobaldo Souza;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Randal Pearson;Josvaldo Ferreira;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Shaun Murphy;Clementina Silva;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Thomas Shelby;Carleta Joaquina;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;;Walter White;Carleta Joaquina;Internet;10200
;;;;Lojas Afiliadas;12200
;;;;Lojas Próprias;16900
;Refrigerante Bronze;Annalise Keating;Josvaldo Ferreira;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Dexter Morgan;Josvaldo Ferreira;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Elliot Alderson;Clementina Silva;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Gregory House;Clementina Silva;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Ítalo Teotônio;Carleta Joaquina;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Jack Bauer;Teobaldo Souza;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Michael Scofield;Astolfo Péricles;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Norma Bates;Teobaldo Souza;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Randal Pearson;Josvaldo Ferreira;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Shaun Murphy;Clementina Silva;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Thomas Shelby;Carleta Joaquina;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;;Walter White;Carleta Joaquina;Internet;6100
;;;;Lojas Afiliadas;7700
;;;;Lojas Próprias;7200
;Refrigerante Diamante;Annalise Keating;Josvaldo Ferreira;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Dexter Morgan;Josvaldo Ferreira;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Elliot Alderson;Clementina Silva;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Gregory House;Clementina Silva;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Ítalo Teotônio;Carleta Joaquina;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Jack Bauer;Teobaldo Souza;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Michael Scofield;Astolfo Péricles;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Norma Bates;Teobaldo Souza;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Randal Pearson;Josvaldo Ferreira;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Shaun Murphy;Clementina Silva;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Thomas Shelby;Carleta Joaquina;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;;Walter White;Carleta Joaquina;Internet;9000
;;;;Lojas Afiliadas;10300
;;;;Lojas Próprias;15300
;Refrigerante Ouro;Annalise Keating;Josvaldo Ferreira;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Dexter Morgan;Josvaldo Ferreira;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Elliot Alderson;Clementina Silva;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Gregory House;Clementina Silva;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Ítalo Teotônio;Carleta Joaquina;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Jack Bauer;Teobaldo Souza;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Michael Scofield;Astolfo Péricles;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Norma Bates;Teobaldo Souza;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Randal Pearson;Josvaldo Ferreira;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Shaun Murphy;Clementina Silva;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Thomas Shelby;Carleta Joaquina;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;;Walter White;Carleta Joaquina;Internet;9200
;;;;Lojas Afiliadas;10400
;;;;Lojas Próprias;12600
;Refrigerante Prata;Annalise Keating;Josvaldo Ferreira;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Dexter Morgan;Josvaldo Ferreira;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Elliot Alderson;Clementina Silva;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Gregory House;Clementina Silva;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Ítalo Teotônio;Carleta Joaquina;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Jack Bauer;Teobaldo Souza;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Michael Scofield;Astolfo Péricles;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Norma Bates;Teobaldo Souza;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Randal Pearson;Josvaldo Ferreira;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Shaun Murphy;Clementina Silva;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Thomas Shelby;Carleta Joaquina;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;;Walter White;Carleta Joaquina;Internet;8400
;;;;Lojas Afiliadas;10000
;;;;Lojas Próprias;11500
;Suco Bronze;Annalise Keating;Josvaldo Ferreira;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Dexter Morgan;Josvaldo Ferreira;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Elliot Alderson;Clementina Silva;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Gregory House;Clementina Silva;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Ítalo Teotônio;Carleta Joaquina;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Jack Bauer;Teobaldo Souza;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Michael Scofield;Astolfo Péricles;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Norma Bates;Teobaldo Souza;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Randal Pearson;Josvaldo Ferreira;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Shaun Murphy;Clementina Silva;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Thomas Shelby;Carleta Joaquina;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;;Walter White;Carleta Joaquina;Internet;5900
;;;;Lojas Afiliadas;5800
;;;;Lojas Próprias;7300
;Suco Diamante;Annalise Keating;Josvaldo Ferreira;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Dexter Morgan;Josvaldo Ferreira;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Elliot Alderson;Clementina Silva;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Gregory House;Clementina Silva;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Ítalo Teotônio;Carleta Joaquina;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Jack Bauer;Teobaldo Souza;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Michael Scofield;Astolfo Péricles;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Norma Bates;Teobaldo Souza;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Randal Pearson;Josvaldo Ferreira;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Shaun Murphy;Clementina Silva;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Thomas Shelby;Carleta Joaquina;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;;Walter White;Carleta Joaquina;Internet;6300
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;9300
;Suco Ouro;Annalise Keating;Josvaldo Ferreira;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Dexter Morgan;Josvaldo Ferreira;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Elliot Alderson;Clementina Silva;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Gregory House;Clementina Silva;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Ítalo Teotônio;Carleta Joaquina;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Jack Bauer;Teobaldo Souza;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Michael Scofield;Astolfo Péricles;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Norma Bates;Teobaldo Souza;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Randal Pearson;Josvaldo Ferreira;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Shaun Murphy;Clementina Silva;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Thomas Shelby;Carleta Joaquina;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;;Walter White;Carleta Joaquina;Internet;4700
;;;;Lojas Afiliadas;6500
;;;;Lojas Próprias;7100
;Suco Prata;Annalise Keating;Josvaldo Ferreira;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Dexter Morgan;Josvaldo Ferreira;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Elliot Alderson;Clementina Silva;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Gregory House;Clementina Silva;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Ítalo Teotônio;Carleta Joaquina;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Jack Bauer;Teobaldo Souza;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Michael Scofield;Astolfo Péricles;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Norma Bates;Teobaldo Souza;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Randal Pearson;Josvaldo Ferreira;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Shaun Murphy;Clementina Silva;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Thomas Shelby;Carleta Joaquina;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
;;Walter White;Carleta Joaquina;Internet;3800
;;;;Lojas Afiliadas;5900
;;;;Lojas Próprias;7200
31/05/2020;Café Bronze;Annalise Keating;Josvaldo Ferreira;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Dexter Morgan;Josvaldo Ferreira;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Elliot Alderson;Clementina Silva;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Gregory House;Clementina Silva;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Ítalo Teotônio;Carleta Joaquina;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Jack Bauer;Teobaldo Souza;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Michael Scofield;Astolfo Péricles;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Norma Bates;Teobaldo Souza;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Randal Pearson;Josvaldo Ferreira;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Shaun Murphy;Clementina Silva;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Thomas Shelby;Carleta Joaquina;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;;Walter White;Carleta Joaquina;Internet;3200
;;;;Lojas Afiliadas;3500
;;;;Lojas Próprias;4800
;Café Diamante;Annalise Keating;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Dexter Morgan;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Elliot Alderson;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Gregory House;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Ítalo Teotônio;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Jack Bauer;Teobaldo Souza;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Michael Scofield;Astolfo Péricles;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Norma Bates;Teobaldo Souza;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Randal Pearson;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Shaun Murphy;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Thomas Shelby;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;;Walter White;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;7100
;;;;Lojas Próprias;8100
;Café Ouro;Annalise Keating;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Dexter Morgan;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Elliot Alderson;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Gregory House;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Ítalo Teotônio;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Jack Bauer;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Michael Scofield;Astolfo Péricles;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Norma Bates;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
;;Randal Pearson;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;8300
;;;;Lojas Próprias;9400
